Street,City,State,Postal Code,Latitude,Longitude
Bukit Telaga Golf FG-17 Citraland,Surabaya,Jawa Timur,60212,-7.30045,112.648878
Jalan Genteng Anom No.5,Surabaya,Jawa Timur,60275,-7.25726,112.73636
Jl. Tunjungan,Surabaya,Jawa Timur,60261,-7.26345,112.74
G-Walk Citraland FG-19,Surabaya,Jawa Timur,60217,-7.291628,112.654495
Jl. Pandegiling No. 45 Raya Darmo,Surabaya,Jawa Timur,60264,-7.27742,112.740229
Jalan KH MAS Mansyur No.189,Surabaya,Jawa Timur,60162,-7.227856,112.740648
Jl. Simpang Dukuh No. 42-44,Surabaya,Jawa Timur,60261,-7.260957,112.74157
Ruko Galaxi Bumi Permai Blok. H No. 15,Surabaya,Jawa Timur,60119,-7.301142,112.784282
Jl. Genteng Besar 80,Surabaya,Jawa Timur,60283,-7.258413,112.73973
"Soekarno Hatta DR 1-2, mojolangu, lowok waru",Kelurahan Tulusrejo,Jawa Timur,65142,-7.941458,112.623113
Jalan Menur Pumpungan,Surabaya,Jawa Timur,60118,-7.289744,112.768918
Jalan Pacar 9-17,Surabaya,Jawa Timur,60272,-7.256848,112.747959
Kota Surabaya,Surabaya,Jawa Timur,60236,-7.3397,112.737
ARJUNA RAYA.jalan merapi no 12/14,Surabaya,Jawa Timur,60251,-7.260227,112.726137
Keputih Tegal Timur No. 1-3 Perumahahan Sukolilo Park Regency,Surabaya,Jawa Timur,60111,-7.288776,112.809333
Jl. Raya Manyar Kertoarjo V %2F 54-56 Mojo Gubeng Surabaya Jawa Timur,Surabaya,Jawa Timur,61315,-7.271802,112.764258
Jalan Kaliwaron,Surabaya,Jawa Timur,60115,-7.263758,112.771987
Jalan Sumatera,Blitar,Jawa Timur,66137,-8.101479,112.173919
"Jl. Taman Jayengrono No 2-4, Jembatan Merah Plaza Ground Floor",Surabaya,Jawa Timur,60163,-7.23618,112.737746
Jalan Jenderal Basuki Rahmat,Surabaya,Jawa Timur,60271,-7.273737,112.74302
Jl. Taman Mayangkara No. 1 Ketintang Gayungan Surabaya Jawa Timur,Surabaya,Jawa Timur,60421,-7.294499,112.738794
Jalan Menara 34,Pasuruan,Jawa Timur,67115,-7.643394,112.895126
Jalan Veteran,Kelurahan Sumbersari,Jawa Timur,65145,-7.956008,112.615935
Jalan Melati,Blitar,Jawa Timur,66111,-8.10322,112.161083
"Jemursari Regency B-28, Surabaya",Surabaya,Jawa Timur,60292,-7.316498,112.758543
Jl. Mayjend Prof. Dr. Moestopo No. 6,Surabaya,Jawa Timur,60286,-7.26729,112.76074
Jl. Panjang Jiwo Permai III no. 7,Surabaya,Jawa Timur,60299,-7.311741,112.765353
Jl. Gading No. 2 Ketabang Genteng Surabaya Jawa Timur,Surabaya,Jawa Timur,60264,-7.275292,112.734833
JL. Raya Nginden 30 A,Surabaya,Jawa Timur,60284,-7.299909,112.762275
"THR Plaza, Jl. Kusuma Bangsa 119",Surabaya,Jawa Timur,60273,-7.253496,112.749767
Jl. Manyar Kertoarjo VIII %2F 1 Mojo Gubeng Surabaya Jawa Timur,Surabaya,Jawa Timur,61315,-7.271802,112.764258
Jalan Pemuda,Surabaya,Jawa Timur,60271,-7.265894,112.749326
Jalan Tunjungan,Surabaya,Jawa Timur,60275,-7.258766,112.73857
Jl. Kali Rungkut Surabaya,Surabaya,Jawa Timur,60293,-7.32064,112.769
Jl. Jemur Andayani No. 1-A Jemur Wonosari Wonocolo Surabaya Jawa Timur,Surabaya,Jawa Timur,60233,-7.336519,112.715041
"Jl. Raya Rungkut Madya, Gunung Anyar",Surabaya,Jawa Timur,60294,-7.333311,112.789463
"Barata Jaya XVII/57-59, Surabaya, Java, Indonesia",Surabaya,Jawa Timur,60284,-7.30493,112.76065
Simo Katrungan Kidul 49,Surabaya,Jawa Timur,60263,-7.27191,112.713747
Jalan Raden Patah,Pasuruan,Jawa Timur,67115,-7.644378,112.897825
Jalan Teratai No.2 B,Surabaya,Jawa Timur,60136,-7.25516,112.75528
Jl. Raya Darmo 5,Surabaya,Jawa Timur,60241,-7.287872,112.738996
Jl. Samudra No. 3-5 Bongkaran Pabean Cantikan Surabaya Jawa Timur,Surabaya,Jawa Timur,60264,-7.275292,112.734833
Jalan Embong Malang,Surabaya,Jawa Timur,60011,-7.260609,112.738438
Jl. Merdeka 173,Blitar,Jawa Timur,66117,-8.093221,112.166634
Jalan Soekarno Hatta,Kelurahan Jatimulyo,Jawa Timur,65142,-7.941798,112.622241
jl Sukarno Hatta kav 1a,Kelurahan Mojolangu,Jawa Timur,65142,-7.939468,112.631509
Jl. Margorejo Indah No. 97-99 Margorejo Wonocolo Surabaya Jawa Timur,Surabaya,Jawa Timur,61212,-7.316415,112.748645
Jalan ITS Raya,Surabaya,Jawa Timur,60112,-7.276513,112.791692
Jalan Pesanggrahan 2 Prigen Raya,Pasuruan,Jawa Timur,67134,-7.6333,112.9
"JL. Siwalan Kerto Timur 1 no. 42, Surabaya, East Java 60236",Surabaya,Jawa Timur,60236,-7.33525,112.736069
