Street,City,State,Postal Code,Latitude,Longitude
Jalan Pacar 9-17,Surabaya,Jawa Timur,60272,-7.256848,112.747959
Jl. Kalimantan 14 ( Gubeng),Surabaya,Jawa Timur,60281,-7.271471,112.75017
Jalan Soekarno Hatta,Kelurahan Jatimulyo,Jawa Timur,65142,-7.941798,112.622241
Jl. Merdeka 173,Blitar,Jawa Timur,66117,-8.093221,112.166634
Keputih Tegal Timur No. 1-3 Perumahahan Sukolilo Park Regency,Surabaya,Jawa Timur,60111,-7.288776,112.809333
Jalan Kalimas Baru 194 Surabaya,Surabaya,Jawa Timur,60165,-7.197596,112.73405
Jl. Platuk Donomulya XV No. 2,Surabaya,Jawa Timur,60128,-7.228636,112.766004
Jl. Pemuda No. 33-37 Embong Kaliasin Genteng Surabaya Jawa Timur,Surabaya,Jawa Timur,60272,-7.264911,112.74877
"Jl. Siwalankerto, 146-148",Surabaya,Jawa Timur,60236,-7.338876,112.737536
Jalan Madura,Blitar,Jawa Timur,66113,-8.104739,112.182434
